session,sub_id,picture,target,condition,conditionletter,block
fam_block,p01,axtfam.jpg,axt,familiarization,f,fam
fam_block,p01,krokodilfam.jpg,krokodil,familiarization,f,fam
fam_block,p01,bettfam.jpg,bett,familiarization,f,fam
fam_block,p01,kamelfam.jpg,kamel,familiarization,f,fam
fam_block,p01,flugzeugfam.jpg,flugzeug,familiarization,f,fam
fam_block,p01,scherefam.jpg,schere,familiarization,f,fam
fam_block,p01,schlusselfam.jpg,schlussel,familiarization,f,fam
fam_block,p01,brillefam.jpg,brille,familiarization,f,fam
fam_block,p01,buchfam.jpg, buch,familiarization,f,fam
fam_block,p01,sonnenschirmfam.jpg,sonnenschirm,familiarization,f,fam
fam_block,p01,moscheefam.jpg,moschee,familiarization,f,fam
fam_block,p01,hexefam.jpg,hexe,familiarization,f,fam
fam_block,p01,vasefam.jpg,vase,familiarization,f,fam
fam_block,p01,waschmaschinefam.jpg,waschmachine,familiarization,f,fam
fam_block,p01,meerfam.jpg,meer,familiarization,f,fam
fam_block,p01,treppefam.jpg,treppe,familiarization,f,fam
fam_block,p01,safefam.jpg,safe,familiarization,f,fam
fam_block,p01,spielerfam.jpg,spieler,familiarization,f,fam
fam_block,p01,mappchenfam.jpg,mappchen,familiarization,f,fam
fam_block,p01,sangerfam.jpg,sanger,familiarization,f,fam
fam_block,p01,lastwagenfam.jpg,lastwagen,familiarization,f,fam
fam_block,p01,linealfam.jpg,linealfam,familiarization,f,fam
fam_block,p01,fadenfam.jpg,faden,familiarization,f,fam
fam_block,p01,zeltfam.jpg,zelt,familiarization,f,fam
fam_block,p01,brotfam.jpg,brot,familiarization,f,fam
fam_block,p01,kaminfam.jpg,kamin,familiarization,f,fam
fam_block,p01,kuhlschrankfam.jpg,kuhlschrank,familiarization,f,fam
fam_block,p01,mixerfam.jpg,mixer,familiarization,f,fam
fam_block,p01,autofam.jpg,auto,familiarization,f,fam
fam_block,p01,ventilatorfam.jpg,ventilator,familiarization,f,fam
fam_block,p01,unterseebootfam.jpg,unterseeboot,familiarization,f,fam
fam_block,p01,krankenschwesterfam.jpg,krankenschwester,familiarization,f,fam
