session,sub_id,picture,target,distractor,condition,conditionletter,block
list1_block1,p01,flugzeug11.jpg,flugzeug,fleischerei,onsetphon,A,1
list1_block1,p01,schere15.jpg,schere,xxxx,baseline,E,1
list1_block1,p01,schlussel14.jpg,schlussel,zahlwort,unr2,D,1
list1_block1,p01,brille13.jpg,brille,schema,unr1,C,1
list1_block1,p01,buch12.jpg,buch,abbruch,nonlinear,B,1
list1_block1,p01,sonnenschirm11.jpg,sonnenschirm,soldbuch,onsetphon,A,1
list1_block1,p01,moschee15.jpg,moschee,xxxx,baseline,E,1
list1_block1,p01,hexe14.jpg,hexe,gangart,unr2,D,1
list1_block1,p01,vase13.jpg,vase,schlauch,unr1,C,1
list1_block1,p01,waschmaschine12.jpg,waschmaschine,wissenschaftler,nonlinear,B,1
list1_block1,p01,meer11.jpg,meer,menu,onsetphon,A,1
list1_block1,p01,treppe15.jpg,treppe,xxxx,baseline,E,1
list1_block1,p01,safe14.jpg,safe,hohlenmensch,unr2,D,1
list1_block1,p01,spieler13.jpg,spieler,katze,unr1,C,1
list1_block1,p01,mappchen12.jpg,mappchen,mappen,nonlinear,B,1
list1_block1,p01,sanger11.jpg,sanger,zechseck,onsetphon,A,1
list1_block1,p01,lastwagen15.jpg,lastwagen,xxxx,baseline,E,1
list1_block1,p01,lineal14.jpg,lineal,traktor,unr2,D,1
list1_block1,p01,faden13.jpg,faden,vakuum,unr1,C,1
list1_block1,p01,zelt12.jpg,zelt,zahlwort,nonlinear,B,1
list1_block1,p01,brot11.jpg,brot,brief,onsetphon,A,1
list1_block1,p01,kamin15.jpg,kamin,xxxx,baseline,E,1
list1_block1,p01,kuhlschrank14.jpg,kuhlschrank,birett,unr2,D,1
list1_block1,p01,mixer13.jpg,mixer,hemd,unr1,C,1
list1_block1,p01,auto12.jpg,auto,pluton,nonlinear,B,1
list1_block1,p01,ventilator11.jpg,ventilator,vamp,onsetphon,A,1
list1_block1,p01,unterseeboot15.jpg,unterseeboot,xxxx,nonlinear,E,1
list1_block1,p01,krankenschwester14.jpg,krankenschwester,seife,unr1,D,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
