session,sub_id,picture,target,distractor,format,condition,conditionletter,block
list1_block3,p01,flugzeugtraum.jpg,flugzeug,traum,.jpg,unr1,C,3
list1_block3,p01,scheresehscharfe.jpg,schere,sehscharfe,.jpg,nonlinear,B,3
list1_block3,p01,schlusselschlaganfall.jpg,schlussel,schlaganfall,.jpg,onsetphon,A,3
list1_block3,p01,brillexxxx.jpg,brille,xxxx,.jpg,baseline,E,3
list1_block3,p01,buchrakete.jpg,buch,rakete,.jpg,unr2,D,3
list1_block3,p01,regenschirmzelle.jpg,regenschirm,zelle,.jpg,unr1,C,3
list1_block3,p01,moscheemischehe.jpg,moschee,mischehe,.jpg,nonlinear,B,3
list1_block3,p01,hexehektar.jpg,hexe,hektar,.jpg,onsetphon,A,3
list1_block3,p01,vasexxxx.jpg,vase,xxxx,.jpg,baseline,E,3
list1_block3,p01,waschmaschinekrepp.jpg,waschmaschine,krepp,.jpg,unr2,D,3
list1_block3,p01,meerlampenschein.jpg,meer,lampenschein,.jpg,unr1,C,3
list1_block3,p01,treppekrepp.jpg,treppe,krepp,.jpg,nonlinear,B,3
list1_block3,p01,tresortraum.jpg,tresor,traum,.jpg,onsetphon,A,3
list1_block3,p01,spielerxxxx.jpg,spieler,xxxx,.jpg,baseline,E,3
list1_block3,p01,mappchentaxwert.jpg,mappchen,taxwert,.jpg,unr2,D,3
list1_block3,p01,sangerverbalismus.jpg,sanger,verbalismus,.jpg,unr1,C,3
list1_block3,p01,lastwagenwachsblumen.jpg,lastwagen,wachsblumen,.jpg,nonlinear,B,3
list1_block3,p01,lineallinoleum.jpg,lineal,linoleum,.jpg,onsetphon,A,3
list1_block3,p01,fadenxxxx.jpg,faden,xxxx,.jpg,baseline,E,3
list1_block3,p01,zeltsehscharfe.jpg,zelt,sehscharfe,.jpg,unr2,D,3
list1_block3,p01,baguettescherwolle.jpg,baguette,scherwolle,.jpg,unr1,C,3
list1_block3,p01,schornsteinschraubenzieher.jpg,schornstein,schraubenzieher,.jpg,nonlinear,B,3
list1_block3,p01,kuhlschrankkuhnheit.jpg,kuhlschrank,kuhnheit,.jpg,onsetphon,A,3
list1_block3,p01,mixerxxxx.jpg,mixer,xxxx,.jpg,baseline,E,3
list1_block3,p01,autowissenschaftler.jpg,auto,wissenschaftler,.jpg,unr2,D,3
list1_block3,p01,ventilatormoschus.jpg,ventilator,moschus,.jpg,unr1,C,3
list1_block3,p01,unterseebootnaturalismus.jpg,unterseeboot,naturalismus,.jpg,nonlinear,B,3
list1_block3,p01,krankenschwesterkramladen.jpg,krankenschwester,kramladen,.jpg,onsetphon,A,3
